# magma_version=2.29-7
# os=Ubuntu 24.04.4 LTS
# memory_gb=192
# hostname=b423dc6346fe
# cpu=13th Gen Intel(R) Core(TM) i9-13900KS
# pinned_cores=4,5;6,7;8,9;10,11;12,13;14,15
# workers=6
# fallback_budget=3600
# date=2026-05-27T12:53:48-04:00
label	D	alg	walltime_seconds	peak_memory_mb	status
4.3.[ 81, 54, -9, -15, -8, -5, -1, 2, 1 ]	4	IsogenyOrbitBuilder	1.480	289.656250000000000000000000000	ok
4.3.[ 81, 54, -9, -15, -8, -5, -1, 2, 1 ]	4	IsogenyGraphBuilder	0.870	147.718750000000000000000000000	ok
4.3.[ 81, 54, -9, -15, -8, -5, -1, 2, 1 ]	4	Polarization	1.620	75.1875000000000000000000000000	ok
4.3.[ 81, 54, -9, -15, -8, -5, -1, 2, 1 ]	9	IsogenyOrbitBuilder	1.140	75.1875000000000000000000000000	ok
4.3.[ 81, 54, -9, -15, -8, -5, -1, 2, 1 ]	9	IsogenyGraphBuilder	1.080	75.1875000000000000000000000000	ok
4.3.[ 81, 54, -9, -15, -8, -5, -1, 2, 1 ]	9	Polarization	1.810	203.375000000000000000000000000	ok
4.3.[ 81, 54, -9, -15, -8, -5, -1, 2, 1 ]	12	IsogenyOrbitBuilder	1.650	203.375000000000000000000000000	ok
4.3.[ 81, 54, -9, -15, -8, -5, -1, 2, 1 ]	12	IsogenyGraphBuilder	0.970	289.656250000000000000000000000	ok
4.3.[ 81, 54, -9, -15, -8, -5, -1, 2, 1 ]	12	Polarization	1.620	203.375000000000000000000000000	ok
4.3.[ 81, 54, -9, -15, -8, -5, -1, 2, 1 ]	36	IsogenyOrbitBuilder	9.170	203.375000000000000000000000000	ok
4.3.[ 81, 54, -9, -15, -8, -5, -1, 2, 1 ]	36	IsogenyGraphBuilder	1.680	75.1875000000000000000000000000	ok
4.3.[ 81, 54, -9, -15, -8, -5, -1, 2, 1 ]	36	Polarization	2.330	75.1875000000000000000000000000	ok
4.3.[ 81, 54, -9, -15, -8, -5, -1, 2, 1 ]	100	IsogenyOrbitBuilder	113.700	697.218750000000000000000000000	ok
4.3.[ 81, 54, -9, -15, -8, -5, -1, 2, 1 ]	100	IsogenyGraphBuilder	4.300	203.375000000000000000000000000	ok
4.3.[ 81, 54, -9, -15, -8, -5, -1, 2, 1 ]	100	Polarization	4.850	203.375000000000000000000000000	ok
4.9.[ 6561, -4374, 405, 297, -122, 33, 5, -6, 1 ]	4	IsogenyOrbitBuilder	39.990	156.875000000000000000000000000	ok
4.9.[ 6561, -4374, 405, 297, -122, 33, 5, -6, 1 ]	4	IsogenyGraphBuilder	274.480	556.562500000000000000000000000	ok
4.9.[ 6561, -4374, 405, 297, -122, 33, 5, -6, 1 ]	4	Polarization	786.770	1189.93750000000000000000000000	ok
4.9.[ 6561, -4374, 405, 297, -122, 33, 5, -6, 1 ]	9	IsogenyOrbitBuilder	16.110	150.187500000000000000000000000	ok
4.9.[ 6561, -4374, 405, 297, -122, 33, 5, -6, 1 ]	9	IsogenyGraphBuilder	328.390	729.250000000000000000000000000	ok
4.9.[ 6561, -4374, 405, 297, -122, 33, 5, -6, 1 ]	9	Polarization	869.870	1199.09375000000000000000000000	ok
4.9.[ 6561, -4374, 405, 297, -122, 33, 5, -6, 1 ]	12	IsogenyOrbitBuilder	37.330	156.875000000000000000000000000	ok
4.9.[ 6561, -4374, 405, 297, -122, 33, 5, -6, 1 ]	12	IsogenyGraphBuilder	290.770	575.500000000000000000000000000	ok
4.9.[ 6561, -4374, 405, 297, -122, 33, 5, -6, 1 ]	12	Polarization	695.740	1189.93750000000000000000000000	ok
4.9.[ 6561, -4374, 405, 297, -122, 33, 5, -6, 1 ]	36	IsogenyOrbitBuilder	250.190	729.250000000000000000000000000	ok
4.9.[ 6561, -4374, 405, 297, -122, 33, 5, -6, 1 ]	36	IsogenyGraphBuilder	723.060	1221.96875000000000000000000000	ok
4.9.[ 6561, -4374, 405, 297, -122, 33, 5, -6, 1 ]	36	Polarization	1101.850	2025.78125000000000000000000000	ok
4.9.[ 6561, -4374, 405, 297, -122, 33, 5, -6, 1 ]	100	IsogenyOrbitBuilder	2465.680	5714.71875000000000000000000000	ok
4.9.[ 6561, -4374, 405, 297, -122, 33, 5, -6, 1 ]	100	IsogenyGraphBuilder	1726.550	2656.25000000000000000000000000	ok
4.9.[ 6561, -4374, 405, 297, -122, 33, 5, -6, 1 ]	100	Polarization	3016.640	2733.96875000000000000000000000	ok
1.101.[ 101, 13, 1 ]	4	IsogenyOrbitBuilder	0.030	32.0937500000000000000000000000	ok
1.101.[ 101, 13, 1 ]	4	IsogenyGraphBuilder	0.020	32.0937500000000000000000000000	ok
1.101.[ 101, 13, 1 ]	4	Polarization	0.030	32.0937500000000000000000000000	ok
1.101.[ 101, 13, 1 ]	9	IsogenyOrbitBuilder	0.030	32.0937500000000000000000000000	ok
1.101.[ 101, 13, 1 ]	9	IsogenyGraphBuilder	0.030	32.0937500000000000000000000000	ok
1.101.[ 101, 13, 1 ]	9	Polarization	0.030	32.0937500000000000000000000000	ok
1.101.[ 101, 13, 1 ]	12	IsogenyOrbitBuilder	0.030	32.0937500000000000000000000000	ok
1.101.[ 101, 13, 1 ]	12	IsogenyGraphBuilder	0.030	32.0937500000000000000000000000	ok
1.101.[ 101, 13, 1 ]	12	Polarization	0.030	32.0937500000000000000000000000	ok
1.101.[ 101, 13, 1 ]	36	IsogenyOrbitBuilder	0.040	32.0937500000000000000000000000	ok
1.101.[ 101, 13, 1 ]	36	IsogenyGraphBuilder	0.030	32.0937500000000000000000000000	ok
1.101.[ 101, 13, 1 ]	36	Polarization	0.030	32.0937500000000000000000000000	ok
1.101.[ 101, 13, 1 ]	100	IsogenyOrbitBuilder	0.040	32.0937500000000000000000000000	ok
1.101.[ 101, 13, 1 ]	100	IsogenyGraphBuilder	0.030	32.0937500000000000000000000000	ok
1.101.[ 101, 13, 1 ]	100	Polarization	0.040	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	4	IsogenyOrbitBuilder	0.070	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	4	IsogenyGraphBuilder	0.080	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	4	Polarization	0.180	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	9	IsogenyOrbitBuilder	0.060	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	9	IsogenyGraphBuilder	0.070	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	9	Polarization	0.100	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	12	IsogenyOrbitBuilder	0.090	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	12	IsogenyGraphBuilder	0.090	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	12	Polarization	0.220	32.0937500000000000000000000000	ok
